Unnamed: 0,cafe_id,cafe,address,addrbunho,image_url
105,1499283160,길다방,제주특별자치도 제주시 구좌읍 세화리,3645-8,
106,1685946722,공산명월,제주특별자치도 제주시 애월읍 광령리,2611-1,http://t1.daumcdn.net/localfiy/C64CED5E63D44F5F9DCC8714C9E12D8B
107,282485932,진가커피,제주특별자치도 제주시 연동,251-66,http://t1.daumcdn.net/localfiy/C6E0646DEBA94C1C9250DA29C6DD8DAC
108,578523567,저지에,제주특별자치도 제주시 한경면 저지리,2073-1,
109,150410758,제주알마켓커피,제주특별자치도 제주시 이도이동,1064-1,http://t1.daumcdn.net/localfiy/CA5B21BC47114E33AD79B81F681BA773
110,746191857,보스코,제주특별자치도 서귀포시 대정읍 하모리,1567-7,
111,1721154114,주인의취향,제주특별자치도 서귀포시 서호동,1471-6,
112,1315710148,이올라니,제주특별자치도 제주시 용담1동,2814-12,http://t1.daumcdn.net/place/42B4CDACF2EB40EBA2CB4A0EB14F7355
113,484719553,달봉펜션&카페,제주특별자치도 제주시 우도면 연평리,762,
0,322555256,카페어떤오후,제주특별자치도 제주시 애월읍 상가리,1184,http://t1.daumcdn.net/place/3CCBAFCD3501448D8AE8104C5EB43908
1,21524009,하먼,제주특별자치도 서귀포시 대정읍 하모리,636-4,http://t1.daumcdn.net/place/CA1CBC0CB0CB45C18FBE3D9133F48217
2,18722453,카페월령,제주특별자치도 제주시 한림읍 월령리,317,http://t1.daumcdn.net/localfiy/searchregister_1861160966
3,1146670427,베라벨,제주특별자치도 서귀포시 신효동,705-4,
4,1488182287,꿈의요리카페드림,제주특별자치도 제주시 연동,322-2,
5,15918352,세계조가비박물관 커피숍,제주특별자치도 서귀포시 서홍동,557-1,
6,15894512,미송캔,제주특별자치도 제주시 일도1동,1146-19,
7,554478375,설빙 제주대병원점,제주특별자치도 제주시 아라일동,6082-2,
8,772855204,투썸플레이스 제주모슬포점,제주특별자치도 서귀포시 대정읍 하모리,2133-5,http://t1.daumcdn.net/place/44B9A83AB78C49479A158919DEEF38C9
9,170643412,한앤솜하우스,제주특별자치도 제주시 노형동,1576-10,
10,27581004,우리의세계,제주특별자치도 서귀포시 표선면 표선리,675,
11,21305070,아이비카페,제주특별자치도 제주시 노형동,912-3,
12,20621576,헬로커피,제주특별자치도 서귀포시 표선면 성읍리,3305-21,
13,1883569834,카페송키,제주특별자치도 제주시 삼도2동,1120-2,http://t1.daumcdn.net/localfiy/383D18261AD54F428DC67602EB8AF41C
14,1737738948,말로,제주특별자치도 제주시 조천읍 와산리,619,
15,520929796,보리다,제주특별자치도 제주시 이도이동,1055,http://t1.daumcdn.net/localfiy/searchregister_1006255170
16,1875081207,선물카페,제주특별자치도 서귀포시 안덕면 덕수리,2288-1,
17,1543761583,두두,제주특별자치도 제주시 한림읍 한림리,1199-3,
18,1675972774,여섯번의보름,제주특별자치도 서귀포시 호근동,1310-1,http://t1.daumcdn.net/localfiy/searchregister_1715000296
19,131220485,바다숨소리카페,제주특별자치도 제주시 조천읍 신촌리,2403-3,
20,24529553,카페뉴기니버드,제주특별자치도 서귀포시 상효동,25,
21,1628505523,금요일의아침 조금,제주특별자치도 제주시 이도이동,319-5,
22,1712625832,플로리안인제주,제주특별자치도 제주시 노형동,1049-4,http://t1.daumcdn.net/localfiy/1D8128F513D44D768260E320394C4145
23,21527083,머들,제주특별자치도 제주시 조천읍 교래리,342-2,
24,23347100,더커피,제주특별자치도 제주시 노형동,1278-9,
25,898585862,카페한라산,제주특별자치도 제주시 구좌읍 하도리,3200-12,http://t1.daumcdn.net/place/437EA3BC9D6A482CA95B21F6C98DD50F
26,1912871290,카페우도슈퍼경화민박,제주특별자치도 제주시 우도면 연평리,1875-4,
27,1945525281,산노루,제주특별자치도 제주시 한경면 조수리,2098-4,http://t1.daumcdn.net/place/2CADABD145574BD98D029985524AFECA
28,1071240534,카페모먼트,제주특별자치도 서귀포시 표선면 가시리,1298-3,http://t1.daumcdn.net/localfiy/266D2F8DD74940B39650EE36FC425EE1
29,725259605,크런치오븐제주점,제주특별자치도 제주시 도남동,191-1,
30,292695574,락,제주특별자치도 제주시 연동,292-9,
31,582214423,커뮤니티라운지,제주특별자치도 제주시 일도일동,1148-2,
32,418652493,카페이시도르,제주특별자치도 제주시 한림읍 금악리,117,http://t1.daumcdn.net/place/B6FC885A5AF6490EAD9FADED75DC8BE5
33,24962250,뽀르또,제주특별자치도 서귀포시 남원읍 위미리,1767-4,
34,9392074,이야기 카페,제주특별자치도 제주시 건입동,709-1,
35,539630510,도깨비방망이,제주특별자치도 제주시 한림읍 대림리,1774-2,http://t1.daumcdn.net/localfiy/searchregister_208120114
36,1704706310,수다,제주특별자치도 서귀포시 대정읍 하모리,1450,
37,20467548,상록수다방,제주특별자치도 제주시 한림읍 한림리,1073,
38,39080316,위더스트래블 칠성점,제주특별자치도 제주시 일도1동,1298-22,http://t1.daumcdn.net/place/60E0D3D97DE642B2BAD6A0EC348BFC3F
39,14819318,코끼리안장에앉아,제주특별자치도 제주시 노형동,741-2,
40,1404318388,하도록,제주특별자치도 제주시 구좌읍 하도리,1488-1,http://t1.daumcdn.net/localfiy/CE4DB5B60ED9459FB856FEF87AD7E9D7
