,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,lat,lng
371,제주특별자치도 서귀포시 대정읍 상모리 77-2,77-2,제주특별자치도 서귀포시 대정읍 상모리,트로피컬하이드어웨이 브런치카페,1055250555,http://t1.daumcdn.net/localfiy/2470683DCC21416A81B814247C769529,0.0,서귀포시,대정읍,상모리,33.21133927965841,126.29180007752949
372,제주특별자치도 제주시 영평동 2689-1,2689-1,제주특별자치도 제주시 영평동,플로리 카페,1103357890,http://t1.daumcdn.net/localfiy/searchregister_1856760841,0.0,제주시,제주시,영평동,33.48757799067613,126.55332360585636
373,제주특별자치도 제주시 애월읍 하귀1리 192-9,192-9,제주특별자치도 제주시 애월읍 하귀1리,글라스믹,1843991420,,0.0,제주시,애월읍,하귀1리,33.48351711196967,126.41242162986588
374,제주특별자치도 제주시 조천읍 조천리 2769-2,2769-2,제주특별자치도 제주시 조천읍 조천리,조천끗집,1587636406,,0.0,제주시,조천읍,조천리,33.54244284559193,126.63635938947857
375,제주특별자치도 제주시 노형동 3794-4,3794-4,제주특별자치도 제주시 노형동,더시크릿하모니,554718434,,0.0,제주시,제주시,노형동,33.48282404034935,126.47579444005356
376,제주특별자치도 서귀포시 남원읍 의귀리 416,416,제주특별자치도 서귀포시 남원읍 의귀리,오끼416갤러리,646967712,http://t1.daumcdn.net/place/16A271CBB8724703B1F822A1E6446E5C,0.0,서귀포시,남원읍,의귀리,33.311341486292875,126.72255843888864
377,제주특별자치도 제주시 용담삼동 2378,2378,제주특별자치도 제주시 용담삼동,해적카페,17101568,http://t1.daumcdn.net/cfile/157B7B394F45C2D91B,0.0,제주시,제주시,용담삼동,33.51857251289174,126.48928335457727
378,제주특별자치도 제주시 구좌읍 월정리 594,594,제주특별자치도 제주시 구좌읍 월정리,월정리인카페,818988612,,0.0,제주시,구좌읍,월정리,33.55616956261038,126.79332898902511
379,제주특별자치도 서귀포시 중문동 2654-2,2654-2,제주특별자치도 서귀포시 중문동,카노푸스,25865205,http://t1.daumcdn.net/place/50A286E78C964C1EBC6F7EE20608F21F,0.0,서귀포시,서귀포시,중문동,33.242681991525856,126.41970343825399
380,제주특별자치도 제주시 이호일동 1665-1,1665-1,제주특별자치도 제주시 이호일동,카페이호동,1362051346,http://t1.daumcdn.net/localfiy/searchregister_1356285136,0.0,제주시,제주시,이호일동,33.49679634586645,126.45272890696087
381,제주특별자치도 제주시 연동 1372-3,1372-3,제주특별자치도 제주시 연동,엘가커피 제주연동점,27537304,http://t1.daumcdn.net/place/92D3550E2526433DA65B285113A0D8A9,0.0,제주시,제주시,연동,33.48151552769963,126.49064139977258
382,제주특별자치도 서귀포시 서귀동 275-7,275-7,제주특별자치도 서귀포시 서귀동,화용다방,1537748035,,0.0,서귀포시,서귀포시,서귀동,33.24867088702446,126.56308870571534
383,제주특별자치도 제주시 일도1동 1154-3,1154-3,제주특별자치도 제주시 일도1동,부러워커피,1604142577,http://t1.daumcdn.net/localfiy/6988B0681960428B8C0C6905D51F99F6,0.0,제주시,제주시,일도1동,33.51313519223331,126.52867388572672
384,제주특별자치도 제주시 이도2동 1959-1,1959-1,제주특별자치도 제주시 이도2동,로이셀,23737547,http://t1.daumcdn.net/place/336746AB1C3845528EECEC823BD4003F,0.0,제주시,제주시,이도2동,33.494659832713,126.54607746793407
385,제주특별자치도 서귀포시 하효동 1068,1068,제주특별자치도 서귀포시 하효동,카페바라기,24506425,http://t1.daumcdn.net/cfile/230AC74A53830B9E06,0.0,서귀포시,서귀포시,하효동,33.252430447072115,126.6171847553029
386,제주특별자치도 제주시 아라일동 6103-7,6103-7,제주특별자치도 제주시 아라일동,에이바우트커피아라초점,1649787455,,0.0,제주시,제주시,아라일동,33.47642832124364,126.54475242771177
